title,price,link
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/1Yr ADP Free/3 mon.Game Pass/Grey/1.37Kg),83EQ005VIN  ","53,890",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTcxOTA1MDI2ODUzNzI2OjE3MjcxODM1ODM6c3BfYXRmOjMwMDI4NDc3NzI2NjgzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-35-5cm-83EQ005VIN%2Fdp%2FB0D6MPVN7B%2Fref%3Dsr_1_1_sspa%3Fcrid%3DPM7POFW3ZNPI%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727183583%26sprefix%3Dla%252Caps%252C628%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray  ","53,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTcxOTA1MDI2ODUzNzI2OjE3MjcxODM1ODM6c3BfYXRmOjMwMDE2OTc3NTIyMjkzMjo6MDo6&url=%2FMagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint%2Fdp%2FB0CXLWXYB1%2Fref%3Dsr_1_2_sspa%3Fcrid%3DPM7POFW3ZNPI%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727183583%26sprefix%3Dla%252Caps%252C628%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","15,990",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_6?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-6
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/DOS/Iron Grey/1.65 Kg)  ","40,500",https://amazon.in//Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_64?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U&dib_tag=se&keywords=laptop&qid=1727183596&sprefix=la%2Caps%2C628&sr=8-64
"Lenovo IdeaPad 1 Intel Core Celeron N4020 15"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/Office 2021/1Yr Warranty/Cloud Grey/1.3Kg), 82V700ECIN  ","24,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V700ECIN/dp/B0CWRS3XRB/ref=sr_1_65?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U&dib_tag=se&keywords=laptop&qid=1727183596&sprefix=la%2Caps%2C628&sr=8-65
"Lenovo V15 Portable Laptop, 15.6"" FHD Anti-Glare Display, Business and Everyday Use, Intel Dual Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black  ","24,990",https://amazon.in//Lenovo-V15-Portable-Anti-Glare-Processor/dp/B0D79DNSLW/ref=sr_1_66?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U&dib_tag=se&keywords=laptop&qid=1727183596&sprefix=la%2Caps%2C628&sr=8-66
"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","28,990",https://amazon.in//Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_67?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U&dib_tag=se&keywords=laptop&qid=1727183596&sprefix=la%2Caps%2C628&sr=8-67
"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display  ","24,990",https://amazon.in//Acer-Processor-Graphics-Windows-Z2-493/dp/B0C3R5VWP3/ref=sr_1_68?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U&dib_tag=se&keywords=laptop&qid=1727183596&sprefix=la%2Caps%2C628&sr=8-68
"ZEBRONICS PRO Series Z NBC 5S, Intel Core 12th Gen i7 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Space Grey, 1.76 Kg  ","37,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NTQ1OTU5NTA5MDQzMTI3OjE3MjcxODM1OTY6c3BfYnRmOjMwMDA2NzQxMDg4MTQzMjo6MDo6&url=%2FZEBRONICS-Laptop-3200MHz-Windows-Fingerprint%2Fdp%2FB0CJ74Y6H6%2Fref%3Dsr_1_69_sspa%3Fcrid%3DPM7POFW3ZNPI%26dib%3DeyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727183596%26sprefix%3Dla%252Caps%252C628%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1NTQ1OTU5NTA5MDQzMTI3OjE3MjcxODM1OTY6c3BfYnRmOjMwMDEwNDYwMzQ5NzQzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_70_sspa%3Fcrid%3DPM7POFW3ZNPI%26dib%3DeyJ2IjoiMSJ9.I9OCwdLhIoeXyNL2KgqasNKl_MRpptKwoCGPkIeUwKdSG-H1EJ2f5W4FpuRdM5e3_ayijZLYebMeCbkhefzn3eA1TMnoNJo90n8pTkb7kBPnnw1Fo2SPEuDQ4J6fNu54p9PBhnUtoySuiQEVp8rkUdTlS10xNf9RInmqx64eGq7kBB7QnKvFBp2r-u3njxbJj-VdKa_CkJpJcnjL2pkAlBUCEgzkRMX4yJ-dS6bzXS0.2aya8xtjdumZNrwm5gZO3Ap01Hgi9XLfcPUrsf5rj7U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727183596%26sprefix%3Dla%252Caps%252C628%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/16GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG  ","41,990",https://amazon.in//Acer-i5-12450H-Win11Home-Graphics-AL15-52H/dp/B0DDL495SX/ref=sr_1_7?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-7
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","32,490",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_8?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-8
"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","16,392",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_9?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-9
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ","22,990",https://amazon.in//Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_10?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-10
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2021/Backlit Keyboard/FPR/Black/1.41 kg), 21JKS0UA00  ","69,350",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTcxOTA1MDI2ODUzNzI2OjE3MjcxODM1ODM6c3BfbXRmOjMwMDE0ODEwMDgyOTMzMjo6MDo6&url=%2FLenovo-ThinkPad-E14-Keyboard-21JKS0UA00%2Fdp%2FB0CSYS3TPS%2Fref%3Dsr_1_11_sspa%3Fcrid%3DPM7POFW3ZNPI%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727183583%26sprefix%3Dla%252Caps%252C628%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","84,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MTcxOTA1MDI2ODUzNzI2OjE3MjcxODM1ODM6c3BfbXRmOjMwMDE2Njk0MTUwNTgzMjo6MDo6&url=%2FASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS%2Fdp%2FB0CHMZRC89%2Fref%3Dsr_1_12_sspa%3Fcrid%3DPM7POFW3ZNPI%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727183583%26sprefix%3Dla%252Caps%252C628%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS  ","24,990",https://amazon.in//ASUS-SmartChoice-Integrated-Fingerprint-X515MA-BR024WS/dp/B0C1GM4C6V/ref=sr_1_13?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-13
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","21,719",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_14?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-14
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","30,990",https://amazon.in//Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_15?crid=PM7POFW3ZNPI&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERUnbamKmxhnGg2r6FnPwjh8H5Oae11Hd0gJ80kB4NPRutxtG7Q5GH-m3aO29hCzpWh87VCjLq_Fx4R3N2AZ8v1Zs1cxtYuLbdhQByk7yziPjFJPNQvs78Tb_zFkcjuNTbySBXV0PPXjgqe-rnFKYZVsfvcglkPRRSxeEUy37fSHS8.vb7DmaIIcM7dL7vE_cQIwuuRVVYGQECn7_xORN1pTbQ&dib_tag=se&keywords=laptop&qid=1727183583&sprefix=la%2Caps%2C628&sr=8-15
